"DATE","High","Middle","Low"
1993-01-01,86.75,90.72,92.62
1993-02-01,87.25,90.79,92.83
1993-03-01,87.45,90.63,93.25
1993-04-01,87.04,90.53,91.96
1993-05-01,86.18,90.84,91.85
1993-06-01,86.54,90.62,91.79
1993-07-01,86.53,91.08,92.09
1993-08-01,86.72,90.96,92.11
1993-09-01,86.33,91.01,92.7
1993-10-01,86.08,90.93,93.11
1993-11-01,85.84,91.18,92.9
1993-12-01,86.43,91.2,92.83
1994-01-01,86.45,91.5,92.61
1994-02-01,86.43,91.56,93.34
1994-03-01,86.58,91.49,94.14
1994-04-01,87.22,91.08,93.74
1994-05-01,87.63,91.22,93.78
1994-06-01,88.1,91.52,93.1
1994-07-01,88.06,91.75,93.36
1994-08-01,87.96,91.79,93.11
1994-09-01,87.8,91.82,93.5
1994-10-01,87.94,91.61,93.24
1994-11-01,87.92,91.72,93.48
1994-12-01,87.83,91.69,93
1995-01-01,87.28,91.96,92.44
1995-02-01,87.66,91.68,91.59
1995-03-01,87.36,91.65,91.16
1995-04-01,86.74,91.46,91.75
1995-05-01,86.56,91.08,92.16
1995-06-01,85.87,91.03,93.04
1995-07-01,85.88,90.74,93.29
1995-08-01,85.84,90.9,93.88
1995-09-01,86.13,90.96,93.61
1995-10-01,86.05,91.13,93.41
1995-11-01,85.9,91.01,93
1995-12-01,85.83,91.02,93.18
1996-01-01,85.63,91.18,93.36
1996-02-01,85.39,91.3,93.69
1996-03-01,85.48,91.6,93.38
1996-04-01,85.97,91.2,93.84
1996-05-01,86.31,90.8,93.87
1996-06-01,86.06,90.79,94.15
1996-07-01,86.04,90.78,94.12
1996-08-01,85.92,90.86,94.13
1996-09-01,86.18,90.75,93.31
1996-10-01,86.22,90.97,93.43
1996-11-01,86.28,90.95,93.56
1996-12-01,85.89,90.71,94.32
1997-01-01,86.15,90.57,94.59
1997-02-01,86.37,90.6,95.1
1997-03-01,86.59,91.13,95.72
1997-04-01,86.16,90.78,95.3
1997-05-01,86.29,90.96,95.11
1997-06-01,86.72,90.46,93.84
1997-07-01,86.7,90.8,93.6
1997-08-01,86.88,90.89,93.54
1997-09-01,86.9,90.83,94.38
1997-10-01,87.41,90.63,94.78
1997-11-01,87.54,90.72,94.85
1997-12-01,87.8,91.32,94.23
1998-01-01,88.16,91.3,93.8
1998-02-01,88.38,91.63,93.37
1998-03-01,88.66,91.62,93.17
1998-04-01,88.7,92.15,93.28
1998-05-01,89.06,92.62,93.35
1998-06-01,89.37,92.88,94
1998-07-01,89.81,93.05,93.82
1998-08-01,90.29,92.8,93.78
1998-09-01,90.67,92.79,93.35
1998-10-01,91.06,93.25,94.1
1998-11-01,91.63,93.85,94.79
1998-12-01,92.13,94.51,95.24
1999-01-01,92.86,95.03,96.24
1999-02-01,93.27,95.18,96.19
1999-03-01,93.88,95.59,96.4
1999-04-01,94.69,95.9,96.6
1999-05-01,94.99,96.26,97.28
1999-06-01,95.81,96.77,98.06
1999-07-01,96.74,97.22,98.35
1999-08-01,97.57,97.95,98.59
1999-09-01,98.23,98.63,98.39
1999-10-01,98.77,99.25,99.03
1999-11-01,99.39,99.82,99
1999-12-01,100.18,100.19,99.87
2000-01-01,100.92,100.97,100.45
2000-02-01,101.59,101.63,101.73
2000-03-01,103.16,102.59,101.94
2000-04-01,104.43,103.63,102.44
2000-05-01,105.45,105.09,103.25
2000-06-01,106.57,105.46,103.61
2000-07-01,107.73,106.26,104.38
2000-08-01,108.9,107.4,104.51
2000-09-01,110.05,108.7,105.96
2000-10-01,111.09,109.86,106.94
2000-11-01,112.57,110.86,108.74
2000-12-01,114.02,112.17,110.04
2001-01-01,115.22,113.82,111.5
